query,label,score
What’s the valeu of properties we’re holding to rent or sell?,Borrowings,0
How much do we have tied up in stocks or bonds?,Financial Assets,1
How much do we have tied up in stocks or bonds?,Net Profit Margin,0
How much do we got tied up in s2cks or bonds?,Net Profit Margin,0
How much do we have tied up in stocks or bonds?,EV/EBITDA,0
How much do we have tied up in stocks or bonds?,Borrowings,0
How much do we have tied up in s2cks or bonds?,Borrowings,0
What’s the worth of all the products we’ve got ready to sell?,Inventories,1
What’s da worth of all da products we’ve got ready to sell?,Inventories,1
What’s the worth of all the products we’ve got ready to sell?,Return on Assets (ROA),0
What’s the worth of all the products we’ve got ready to sell?,EV/EBITDA,0
What’s the worth ov all the products we’ve got ready to sell?,EV/EBITDA,0
What’s the worth of all the products we’ve got ready to sell?,Borrowings,0
Can we save on taxes later because of past losses?,Deferred Tax Assets,1
Can we save on taxes later because ov past losses?,Deferred Tax Assets,1
Can we save on taxes later because of past losses?,Net Profit Margin,0
Can we save on taxes later because of past losses?,Trade Payables,0
Can we save on taxes later because of past losses?,Borrowings,0
How much have we borrowed altogether?,Borrowings,1
How much have we borrowed al2gether?,Borrowings,1
How much have we borrowed altogether?,Net Profit Margin,0
How much have we borrowed altogether?,Trade Payables,0
How much have we borrowed altogether?,Deferred Tax Assets,0
What do we owe suppliers for stuff we’ve bought?,Trade Payables,1
What do we owe suppliers for stuff we’ve bought?,Net Profit Margin,0
What do we owe suppliers 4 stuff we’ve bought?,Net Profit Margin,0
What do we owe suppliers for stuff we’ve bought?,Borrowings,0
What do we owe suppliers for stuff we’ve bought?,Deferred Tax Assets,0
What do we owe suppliers 4 stuff we’ve bought?,Deferred Tax Assets,0
Are we setting aside money for future employee costs?,Provisions,1
Are we setting aside money for future employee costs?,Return on Assets (ROA),0
Are we setting aside money for future employee costs?,Trade Payables,0
Are we setting aside money for future employee costs?,Borrowings,0
How much tax will we owe down the road?,Deferred Tax Liabilities,1
How much tax will we owe down the road?,Net Profit Margin,0
How much tax will we owe down the road?,Borrowings,0
How much tax will we owe down the road?,Deferred Tax Assets,0
What other debts do we have hanging out there?,Other Financial Liabilities,1
What other debts do we have hanging out there?,Net Profit Margin,0
What other debts do we have hanging out there?,Borrowings,0
What other debts do we have hanging out there?,Deferred Tax Assets,0
How much cash did shareholders put into the company?,Share Capital,1
How much cash did shareholders put into the company?,Return on Assets (ROA),0
How much cash did shareholders put into the company?,EV/EBITDA,0
How much cash did shareholders put in2 the company?,EV/EBITDA,0
How much cash did shareholders put into the company?,Deferred Tax Assets,0
How much cash did shareholders put into da company?,Deferred Tax Assets,0
What’s the total of profits we’ve kept over time?,Other Equity / Reserves & Surplus,1
What’s the total ov provits we’ve kept over time?,Other Equity / Reserves & Surplus,1
What’s the total of profits we’ve kept over time?,Return on Assets (ROA),0
What’s da total of profits we’ve kept over time?,Return on Assets (ROA),0
What’s the total of profits we’ve kept over time?,EV/EBITDA,0
What’s the total of profits we’ve kept over time?,Deferred Tax Assets,0
How does our sales money this quarter compare to last year?,Revenue,1
How does our sales money dis quater compare to last year?,Revenue,1
How does our sales money this quarter compare to last year?,Return on Assets (ROA),0
How does our sales money this quarter compare to last yr?,Return on Assets (ROA),0
How does our sales money this quarter compare to last year?,Trade Payables,0
How does our sales money this quarter compare to last year?,Borrowings,0
How does our sales money dis quater compare to last yr?,Borrowings,0
Did it cost more to make things this month than last month?,Cost of Goods Sold (COGS),1
Did it cost more to make things this month than last month?,Return on Assets (ROA),0
Did it cost more to make things this month than last month?,Trade Payables,0
Did it cost more 2 make things this month than last month?,Trade Payables,0
Did it cost more to make things this month than last month?,Borrowings,0
Did it cost more 2 make things this month than last month?,Borrowings,0
How has our profit after production been trending lately?,Gross Profit,1
How has our provit after production been trending lately?,Gross Profit,1
How has our profit after production been trending lately?,Return on Equity (ROE),0
How has our profit after production been trending lately?,"Property, Plant and Equipment (PPE)",0
How has our profit after production been trending lately?,Borrowings,0
How has our proffit after production been trending lately?,Borrowings,0
Are we spending more than planned this year?,Operating Expenses,1
Are we spending more than planned this year?,Return on Assets (ROA),0
Are we spending more than planned this year?,Trade Payables,0
Are we spending more than planned this year?,Borrowings,0
What did we earn from operations before interest last year?,Operating Profit (EBIT),1
What did we earn from operations before interest last year?,Return on Assets (ROA),0
What we did earn from operations before interest last year?,Return on Assets (ROA),0
What did we earn from operations before interest last year?,Trade Payables,0
What did we earn from operations before interest last year?,Borrowings,0
What did we earn from operations before interest last yr?,Borrowings,0
What’s our profit before equipment costs this quarter?,EBITDA,1
What’s our profit before equipment costs dis quater?,EBITDA,1
What’s our profit before equipment costs this quarter?,Return on Equity (ROE),0
What’s our provit before equipment costs this quarter?,Return on Equity (ROE),0
What’s our profit before equipment costs this quarter?,"Property, Plant and Equipment (PPE)",0
What’s our proffit before equipment costs this quarter?,"Property, Plant and Equipment (PPE)",0
What’s our profit before equipment costs this quarter?,Borrowings,0
What’s our provit before equipment costs this quarter?,Borrowings,0
How much did we keep after everything last month?,Net Profit (PAT),1
How much did we keep after everything last month?,Return on Assets (ROA),0
How much did we keep after everything last month?,"Property, Plant and Equipment (PPE)",0
How much we did keep after everything last month?,"Property, Plant and Equipment (PPE)",0
How much did we keep after everything last month?,Borrowings,0
How much is each share earning so far this year?,Earnings Per Share (EPS),1
How much is each share earning so far this year?,Return on Assets (ROA),0
How much is each share earning so far this year?,Trade Payables,0
How much is each share earning so far this year?,Borrowings,0
How much cash did we make in the first half of 2025?,Operating Cash Flow,1
How much cash did we make in the first half of 2025?,Return on Assets (ROA),0
How much cash we did make in the first half of 2025?,Return on Assets (ROA),0
How much cash did we make in the first half of 2025?,Trade Payables,0
How much cash we did make in the first half of 2025?,Trade Payables,0
How much cash did we make in the first half of 2025?,Borrowings,0
How much cash we did make in the first half of 2025?,Borrowings,0
What did we spend on investments last quarter?,Investing Cash Flow,1
What did we spend on investments last quarter?,Return on Assets (ROA),0
What did we spend on investments last quarter?,Trade Payables,0
What did we spend on investments last quarter?,Borrowings,0
Have we borrowed or sold shares for cash recently?,Financing Cash Flow,1
Have we borrowed or sold shares for cash recently?,Return on Assets (ROA),0
Have we borrowed or sold shares 4 cash recently?,Return on Assets (ROA),0
Have we borrowed or sold shares for cash recently?,Trade Payables,0
Have we borrowed or sold shares 4 cash recently?,Trade Payables,0
Have we borrowed or sold shares for cash recently?,Borrowings,0
Have we borrowed or sold shares 4 cash recently?,Borrowings,0
How much cash do we have left after equipment buys this month?,Free Cash Flow,1
How much cash do we got left after equipment buys this month?,Free Cash Flow,1
How much cash do we have left after equipment buys this month?,Return on Assets (ROA),0
How much cash do we have left after equipment buys this month?,Trade Payables,0
How much cash do we have left after equipment buys this month?,Borrowings,0
How much cash do we got left after equipment buys this month?,Borrowings,0
What’s the write-off for our gear this quarter?,Depreciation,1
What’s the write-ovf for our gear this quarter?,Depreciation,1
What’s the write-off 4 our gear this quarter?,Depreciation,1
What’s the write-off for our gear this quarter?,Return on Assets (ROA),0
What’s the write-off for our gear this quarter?,"Property, Plant and Equipment (PPE)",0
What’s da write-off for our gear this quarter?,"Property, Plant and Equipment (PPE)",0
What’s the write-off for our gear this quarter?,Borrowings,0
What’s the write-off 4 our gear this quarter?,Borrowings,0
Are we spreading out costs for non-physical stuff?,Amortization,1
Are we spreading out costs for non-physical stuff?,Return on Assets (ROA),0
Are we spreading out costs 4 non-physical stuff?,Return on Assets (ROA),0
Are we spreading out costs for non-physical stuff?,EV/EBITDA,0
Are we spreading out costs for non-physical stuff?,Borrowings,0
What expenses are on the books but not paid today?,Accruals,1
What expenses are on the books but not paid today?,Return on Equity (ROE),0
What expenses are on the books but not paid today?,"Property, Plant and Equipment (PPE)",0
What expenses are on da books but not paid today?,"Property, Plant and Equipment (PPE)",0
What expenses are on the books but not paid 2day?,"Property, Plant and Equipment (PPE)",0
What expenses are on the books but not paid today?,Borrowings,0
What expenses are on the books but not paid 2day?,Borrowings,0
Have we saved up for any big costs coming up?,Provisions,1
Have we saved up for any big costs coming up?,Return on Assets (ROA),0
Have we saved up for any big costs coming up?,Trade Payables,0
Have we saved up for any big costs coming up?,Borrowings,0
Might we owe money depending on future events?,Contingent Liabilities,1
Might we owe money depending on future events?,Return on Assets (ROA),0
Might we owe money depending on future events?,Trade Payables,0
Might we owe money depending on future events?,Borrowings,0
How does our profit after making goods compare to others?,Gross Profit Margin,1
How does our proffit after making goods compare to odars?,Gross Profit Margin,1
How does our profit after making goods compare to others?,Return on Equity (ROE),0
How does our profit after making goods compare to odars?,Return on Equity (ROE),0
How does our proffit after making goods compare 2 others?,Return on Equity (ROE),0
How does our profit after making goods compare to others?,"Property, Plant and Equipment (PPE)",0
How does our profit after making goods compare to odars?,"Property, Plant and Equipment (PPE)",0
How does our profit after making goods compare to others?,Borrowings,0
How does our provit after making goods compare to others?,Borrowings,0
Is our profit after regular expenses getting better?,Operating Profit Margin,1
Is our proffit after regular expenses getting better?,Operating Profit Margin,1
Is our profit after regular expenses getting better?,Return on Equity (ROE),0
Is our profit after regular expenses getting better?,"Property, Plant and Equipment (PPE)",0
Is our profit after regular expenses getting better?,Borrowings,0
Is our proffit after regular expenses getting better?,Borrowings,0
How does our final profit percentage compare to competitors?,Net Profit Margin,1
How does our final profit percentage compare to competitors?,Return on Equity (ROE),0
How does our final profit percentage compare 2 competi2rs?,Return on Equity (ROE),0
How does our final profit percentage compare to competitors?,"Property, Plant and Equipment (PPE)",0
How does our final proffit percentage compare to competitors?,"Property, Plant and Equipment (PPE)",0
How does our final profit percentage compare to competitors?,Borrowings,0
How does our final provit percentage compare to competitors?,Borrowings,0
Are we earning well from what we own?,Return on Assets (ROA),1
Are we earning well from what we own?,Net Profit Margin,0
Are we earning well from what we own?,Trade Payables,0
Are we earning well from what we own?,Borrowings,0
What’s the payback for shareholders this year?,Return on Equity (ROE),1
What’s the payback for shareholders this year?,Net Profit Margin,0
What’s da payback for shareholders this year?,Net Profit Margin,0
What’s the payback for shareholders this year?,Trade Payables,0
What’s da payback for shareholders this year?,Trade Payables,0
What’s the payback 4 shareholders this year?,Trade Payables,0
What’s the payback for shareholders this year?,Borrowings,0
What’s da payback 4 shareholders this year?,Borrowings,0
Are we making smart use of our funds for profit?,Return on Capital Employed (ROCE),1
Are we making smart use of our funds for proffit?,Return on Capital Employed (ROCE),1
Are we making smart use of our funds 4 profit?,Return on Capital Employed (ROCE),1
Are we making smart use of our funds for profit?,Return on Assets (ROA),0
Are we making smart use of our funds for proffit?,Return on Assets (ROA),0
Are we making smart use of our funds 4 profit?,Return on Assets (ROA),0
Are we making smart use of our funds for profit?,"Property, Plant and Equipment (PPE)",0
Are we making smart use of our funds for proffit?,"Property, Plant and Equipment (PPE)",0
Are we making smart use of our funds for profit?,Borrowings,0
What’s our profit percentage before taxes over the last year?,EBITDA Margin,1
What’s our profit percentage before taxes over the last year?,Return on Assets (ROA),0
What’s our proffit percentage before taxes over the last year?,Return on Assets (ROA),0
What’s our profit percentage before taxes over the last year?,"Property, Plant and Equipment (PPE)",0
What’s our profit percentage before taxes over da last year?,"Property, Plant and Equipment (PPE)",0
What’s our profit percentage before taxes over the last year?,Borrowings,0
What’s our provit percentage before taxes over the last year?,Borrowings,0
What’s our provit percentage before taxes over da last year?,Borrowings,0
Can we handle our short-term debts with what we’ve got?,Current Ratio,1
Can we handle our short-term debts with what we’ve got?,Net Profit Margin,0
Can we handle our short-term debts with what we’ve got?,Trade Payables,0
Can we handle our short-term debts with what we’ve got?,Borrowings,0
"Without our inventory, can we pay what’s due soon?",Quick Ratio (Acid Test),1
"Without our inventory, can we pay what’s due soon?",Net Profit Margin,0
"Without our inventory, can we pay what’s due soon?",Trade Payables,0
"Without our inventory, can we pay what’s due soon?",Borrowings,0
How much cash do we have for immediate bills?,Cash Ratio,1
How much cash do we got for immediate bills?,Cash Ratio,1
How much cash do we have for immediate bills?,Net Profit Margin,0
How much cash do we got for immediate bills?,Net Profit Margin,0
