NL_Query,GT_Glossary,Predicted_Glossary,Similarity_Score
What expenses are on the books but not paid today?,Accruals,Accruals,0.5924
Have we saved up for any big costs coming up?,Provisions,Provisions,0.55
Might we owe money depending on future events?,Contingent Liabilities,Contingent Liabilities,0.7638
How does our profit after making goods compare to others?,Gross Profit Margin,Gross Profit Margin,0.6196
Is our profit after regular expenses getting better?,Operating Profit Margin,Gross Profit Margin,0.6181
How does our final profit percentage compare to competitors?,Net Profit Margin,Operating Profit Margin,0.6372
Are we earning well from what we own?,Return on Assets (ROA),Return on Equity (ROE),0.6342
What’s the payback for shareholders this year?,Return on Equity (ROE),Return on Equity (ROE),0.5908
Are we making smart use of our funds for profit?,Return on Capital Employed (ROCE),Return on Equity (ROE),0.607
What’s our profit percentage before taxes over the last year?,EBITDA Margin,Operating Profit (EBIT),0.6642
Can we handle our short-term debts with what we’ve got?,Current Ratio,Current Ratio,0.625
"Without our inventory, can we pay what’s due soon?",Quick Ratio (Acid Test),Inventories,0.6156
How much cash do we have for immediate bills?,Cash Ratio,Current Assets,0.5826
Are we moving our stock fast enough?,Inventory Turnover,Inventory Turnover,0.6112
How quick are we getting paid by customers?,Receivables Turnover,Payables Turnover,0.6828
Are we keeping up with supplier payments?,Payables Turnover,Trade Payables,0.6685
Are we using our stuff to make sales efficiently?,Asset Turnover,Revenue,0.606
Are we getting good sales from our short-term cash?,Working Capital Turnover,Current Ratio,0.6482
Do we owe too much compared to what we own?,Debt-to-Equity Ratio,Net Worth,0.5875
How much of what we have is paid for with loans?,Debt Ratio,Debt Ratio,0.5994
Can we cover loan interest without stress?,Interest Coverage Ratio,Interest Coverage Ratio,0.6492
How much of the company do the owners control?,Equity Ratio,Equity,0.6616
What’s the mix of loans versus our own money?,Capital Gearing Ratio,Borrowings,0.6334
How much did each share earn last quarter?,Earnings Per Share (EPS),Earnings Per Share (EPS),0.6419
Is our stock price too high for our earnings?,Price-to-Earnings (P/E) Ratio,Earnings Per Share (EPS),0.5999
Does our stock price match what we’re really worth?,Price-to-Book (P/B) Ratio,Net Worth,0.6103
Are we giving investors a good return via dividends?,Dividend Yield,Dividend Yield,0.7092
How much profit are we sharing with shareholders?,Dividend Payout Ratio,Earnings Per Share (EPS),0.6751
"What’s our company worth, including all debts, today?",Enterprise Value (EV),Equity,0.5905
